"Ope Id","Institution Name","Institution City","Institution State","Institution Type And Control","Total Recipients","Total Awards","Year"
"100200","ALABAMA AGRCLTL & MECHL UNIV","NORMAL","AL","Public 4 Year",3111,13915991,"2013-14"
"100300","FAULKNER UNIVERSITY","MONTGOMERY","AL","Private 4 Year",1943,7406640,"2013-14"
"100400","UNIVERSITY OF MONTEVALLO","MONTEVALLO","AL","Public 4 Year",1103,4597237,"2013-14"
"100500","ALABAMA STATE UNIVERSITY","MONTGOMERY","AL","Public 4 Year",4388,18811092,"2013-14"
"100700","CENTRAL ALABAMA COMMUNITY COLLEGE","ALEXANDER CITY","AL","Public 2 Year",1428,5070075,"2013-14"
"100800","ATHENS STATE UNIVERSITY","ATHENS","AL","Public 4 Year",1457,5264535,"2013-14"
"100900","AUBURN UNIVERSITY","AUBURN","AL","Public 4 Year",3361,13616645,"2013-14"
"101200","BIRMINGHAM SOUTHERN COLLEGE","BIRMINGHAM","AL","Private 4 Year",229,969913,"2013-14"
"101300","CALHOUN COMMUNITY COLLEGE","DECATUR","AL","Public 2 Year",5501,18105408,"2013-14"
"101500","ENTERPRISE STATE COMMUNITY COLLEGE","ENTERPRISE","AL","Public 2 Year",1403,5020266,"2013-14"
"101600","UNIVERSITY OF NORTH ALABAMA","FLORENCE","AL","Public 4 Year",2387,9594086,"2013-14"
"101700","GADSDEN STATE COMMUNITY COLLEGE","GADSDEN","AL","Public 2 Year",4227,14240979,"2013-14"
"101800","GEORGE C WALLACE COMMUNITY COLLEGE","DOTHAN","AL","Public 2 Year",3297,11334732,"2013-14"
"101900","HUNTINGDON COLLEGE","MONTGOMERY","AL","Private 4 Year",512,2056986,"2013-14"
"102000","JACKSONVILLE STATE UNIVERSITY","JACKSONVILLE","AL","Public 4 Year",3538,14282371,"2013-14"
"102100","JEFFERSON DAVIS COMMUNITY COLLEGE","BREWTON","AL","Public 2 Year",818,2898556,"2013-14"
"102200","JEFFERSON STATE COMMUNITY COLLEGE","BIRMINGHAM","AL","Public 2 Year",3761,11921268,"2013-14"
"102300","JUDSON COLLEGE","MARION","AL","Private 4 Year",157,642222,"2013-14"
"102400","UNIVERSITY OF WEST ALABAMA","LIVINGSTON","AL","Public 4 Year",1142,4750760,"2013-14"
"102600","MARION MILITARY INSTITUTE","MARION","AL","Public 2 Year",169,719987,"2013-14"
"102800","MILES COLLEGE","FAIRFIELD","AL","Private 4 Year",1642,7132918,"2013-14"
"102900","UNIVERSITY OF MOBILE","MOBILE","AL","Private 4 Year",729,2733469,"2013-14"
"103000","BISHOP STATE COMMUNITY COLLEGE","MOBILE","AL","Public 2 Year",3181,11509828,"2013-14"
"103100","NORTHEAST ALABAMA STATE CMNTY COLG","RAINSVILLE","AL","Public 2 Year",2119,7411805,"2013-14"
"569702","NORTHWEST-SHOALS C.C.-PHIL CAMPBELL","PHIL CAMPBELL","AL","Public 2 Year",2,6819,"2013-14"
"103300","OAKWOOD COLLEGE","HUNTSVILLE","AL","Private 4 Year",1010,4380930,"2013-14"
"103400","ALABAMA SOUTHERN COMMUNITY COLLEGE","MONROEVILLE","AL","Public 2 Year",958,3503622,"2013-14"
"103600","SAMFORD UNIVERSITY","BIRMINGHAM","AL","Private 4 Year",425,1699799,"2013-14"
"103800","SNEAD STATE COMMUNITY COLLEGE","BOAZ","AL","Public 2 Year",1594,6053322,"2013-14"
"104000","SOUTHERN UNION STATE COMMUNITY CLG","WADLEY","AL","Public 2 Year",2652,10140193,"2013-14"
"104100","SPRING HILL COLLEGE","MOBILE","AL","Private 4 Year",436,1865642,"2013-14"
"104400","STILLMAN COLLEGE","TUSCALOOSA","AL","Private 4 Year",708,3066366,"2013-14"
"104600","TALLADEGA COLLEGE","TALLADEGA","AL","Private 4 Year",664,3145405,"2013-14"
"104700","TROY UNIVERSITY","TROY","AL","Public 4 Year",8248,29701142,"2013-14"
"105000","TUSKEGEE UNIVERSITY","TUSKEGEE","AL","Private 4 Year",1632,7550673,"2013-14"
"105100","UNIVERSITY OF ALABAMA (THE)","TUSCALOOSA","AL","Public 4 Year",6356,25637953,"2013-14"
"105200","UNIVERSITY OF ALABAMA AT BIRMINGHAM","BIRMINGHAM","AL","Public 4 Year",4282,17208050,"2013-14"
"105500","UNIVERSITY OF ALABAMA IN HUNTSVILLE","HUNTSVILLE","AL","Public 4 Year",1866,7376968,"2013-14"
"105700","UNIVERSITY OF SOUTH ALABAMA","MOBILE","AL","Public 4 Year",4790,19349505,"2013-14"
"105900","LAWSON STATE COMMUNITY COLLEGE","BIRMINGHAM","AL","Public 2 Year",2786,9867607,"2013-14"
"106000","FAULKNER STATE COMMUNITY COLLEGE","BAY MINETTE","AL","Public 2 Year",2580,9390501,"2013-14"
"106100","ALASKA PACIFIC UNIVERSITY","ANCHORAGE","AK","Private 4 Year",122,425505,"2013-14"
"106300","UNIVERSITY OF ALASKA FAIRBANKS","FAIRBANKS","AK","Public 4 Year",2140,7173114,"2013-14"
"106500","UNIVERSITY OF ALASKA SOUTHEAST","JUNEAU","AK","Public 4 Year",556,1844017,"2013-14"
"106900","ISLANDS COLLEGE","SITKA","AK","Public 2 Year",1,1995,"2013-14"
"107100","ARIZONA WESTERN COLLEGE","YUMA","AZ","Public 2 Year",5286,17227723,"2013-14"
"107200","COCHISE COLLEGE","DOUGLAS","AZ","Public 2 Year",1838,6071267,"2013-14"
"107300","EASTERN ARIZONA COLLEGE","THATCHER","AZ","Public 2 Year",1387,4922326,"2013-14"
"107400","GRAND CANYON UNIVERSITY","PHOENIX","AZ","Proprietary 4 Year",26788,100380422,"2013-14"
"107600","GLENDALE COMMUNITY COLLEGE","GLENDALE","AZ","Public 2 Year",9624,31779085,"2013-14"
"107700","MESA COMMUNITY COLLEGE","MESA","AZ","Public 2 Year",9680,30940919,"2013-14"
"107800","PHOENIX COLLEGE","PHOENIX","AZ","Public 2 Year",7033,22488704,"2013-14"
"107900","YAVAPAI COLLEGE","PRESCOTT","AZ","Public 2 Year",3260,10713345,"2013-14"
"108100","ARIZONA STATE UNIV (ALL CAMPUSES)","TEMPE","AZ","Public 4 Year",24395,97291826,"2013-14"
"108200","NORTHERN ARIZONA UNIVERSITY","FLAGSTAFF","AZ","Public 4 Year",8893,35030472,"2013-14"
"108300","UNIVERSITY OF ARIZONA","TUCSON","AZ","Public 4 Year",11231,47631021,"2013-14"
"108500","UNIV ARKANSAS MONTICELLO","MONTICELLO","AR","Public 4 Year",2228,8759686,"2013-14"
"108600","UNIV OF ARKANSAS AT PINE BLUFF","PINE BLUFF","AR","Public 4 Year",2018,8617845,"2013-14"
"108700","ARKANSAS BAPTIST COLLEGE","LITTLE ROCK","AR","Private 4 Year",968,4081764,"2013-14"
"108800","LYON COLLEGE","BATESVILLE","AR","Private 4 Year",270,1170501,"2013-14"
"108900","ARKANSAS TECH UNIVERSITY","RUSSELLVILLE","AR","Public 4 Year",5238,20591963,"2013-14"
"109000","ARKANSAS STATE UNIVERSITY","STATE UNIVERSITY","AR","Public 4 Year",6107,24541184,"2013-14"
"109100","ARKANSAS STATE UNIVERSITY - BEEBE","BEEBE","AR","Public 2 Year",1419,5497526,"2013-14"
"109200","UNIVERSITY OF CENTRAL ARKANSAS","CONWAY","AR","Public 4 Year",4280,17493305,"2013-14"
"109300","CENTRAL BAPTIST COLLEGE","CONWAY","AR","Private 4 Year",408,1623420,"2013-14"
"109400","UNIVERSITY OF THE OZARKS","CLARKSVILLE","AR","Private 4 Year",244,1060972,"2013-14"
"109500","CROWLEYS RIDGE COLLEGE","PARAGOULD","AR","Private 4 Year",84,356467,"2013-14"
"109700","HARDING UNIVERSITY","SEARCY","AR","Private 4 Year",1227,4922226,"2013-14"
"109800","HENDERSON STATE UNIVERSITY","ARKADELPHIA","AR","Public 4 Year",1813,7708748,"2013-14"
"109900","HENDRIX COLLEGE","CONWAY","AR","Private 4 Year",259,1093176,"2013-14"
"110000","JOHN BROWN UNIVERSITY","SILOAM SPRINGS","AR","Private 4 Year",697,2661546,"2013-14"
"110100","UNIV ARKANSAS LITTLE ROCK","LITTLE ROCK","AR","Public 4 Year",4399,16443153,"2013-14"
"110200","OUACHITA BAPTIST UNIVERSITY","ARKADELPHIA","AR","Private 4 Year",442,1838221,"2013-14"
"110300","PHILANDER SMITH COLLEGE","LITTLE ROCK","AR","Private 4 Year",428,1957427,"2013-14"
"110400","PHILLIPS COUNTY COMMUNITY COLLEGE","HELENA","AR","Public 2 Year",885,3271726,"2013-14"
"110500","SHORTER COLLEGE","NORTH LITTLE ROCK","AR","Private 2 Year",480,2033820,"2013-14"
"110600","WILLIAMS BAPTIST COLLEGE","WALNUT RIDGE","AR","Private 4 Year",280,1140043,"2013-14"
"110700","SOUTHERN ARKANSAS UNIVERSITY","MAGNOLIA","AR","Public 4 Year",1567,6735313,"2013-14"
"110800","UNIV ARKANSAS FAYETTEVILLE","FAYETTEVILLE","AR","Public 4 Year",5184,20967076,"2013-14"
"110900","UNIVERSITY OF ARKANSAS FOR MEDICAL SCIEN","LITTLE ROCK","AR","Public 4 Year",323,1262568,"2013-14"
"111000","UNIVERSITY OF ARKANSAS-FORT SMITH","FORT SMITH","AR","Public 4 Year",3916,15323823,"2013-14"
"111100","ALLAN HANCOCK COLLEGE","SANTA MARIA","CA","Public 2 Year",3244,10611385,"2013-14"
"111300","ANTELOPE VALLEY COLLEGE","LANCASTER","CA","Public 2 Year",9619,30613831,"2013-14"
"111600","ART CENTER COLLEGE OF DESIGN","PASADENA","CA","Private 4 Year",785,3407508,"2013-14"
"111700","AZUSA PACIFIC UNIVERSITY","AZUSA","CA","Private 4 Year",2995,11664289,"2013-14"
"111800","BAKERSFIELD COLLEGE","BAKERSFIELD","CA","Public 2 Year",8776,27070662,"2013-14"
"111900","BARSTOW COMMUNITY COLLEGE","BARSTOW","CA","Public 2 Year",2272,7149692,"2013-14"
"112200","BIOLA UNIVERSITY","LA MIRADA","CA","Private 4 Year",1413,5761446,"2013-14"
"112300","BROOKS INSTITUTE","SANTA BARBARA","CA","Proprietary 4 Year",242,1055034,"2013-14"
"112400","CABRILLO COLLEGE","APTOS","CA","Public 2 Year",3944,13288242,"2013-14"
"112500","CALIFORNIA BAPTIST UNIVERSITY","RIVERSIDE","CA","Private 4 Year",3143,12580507,"2013-14"
"112700","CALIFORNIA COLLEGE OF THE ARTS","SAN FRANCISCO","CA","Private 4 Year",531,2280659,"2013-14"
"113100","CALIFORNIA INSTITUTE OF TECHNOLOGY","PASADENA","CA","Private 4 Year",108,430475,"2013-14"
"113200","CALIFORNIA INSTITUTE OF THE ARTS","VALENCIA","CA","Private 4 Year",331,1521184,"2013-14"
"113300","CALIFORNIA LUTHERAN UNIVERSITY","THOUSAND OAKS","CA","Private 4 Year",904,3611831,"2013-14"
"113400","CALIFORNIA MARITIME ACADEMY","VALLEJO","CA","Public 4 Year",364,1654418,"2013-14"
"113700","CALIF STATE UNIV-FULLERTON","FULLERTON","CA","Public 4 Year",15380,65060762,"2013-14"
"113800","CALIFORNIA STATE UNIVERSITY, EAST BAY","HAYWARD","CA","Public 4 Year",6423,26883406,"2013-14"
"113900","CALIF STATE UNIV-LONG BEACH","LONG BEACH","CA","Public 4 Year",16321,69622432,"2013-14"
"114000","CALIF STATE UNIV-LOS ANGELES","LOS ANGELES","CA","Public 4 Year",13753,59722098,"2013-14"
"114100","CALIF STATE UNIV, DOMINGUEZ HILLS","CARSON","CA","Public 4 Year",7774,32947680,"2013-14"
"114200","CALIF STATE UNIV SAN BERNARDINO","SAN BERNARDINO","CA","Public 4 Year",10511,45906135,"2013-14"
"114300","CAL POLY STATE UNIVERSITY","SAN LUIS OBISPO","CA","Public 4 Year",3996,16446537,"2013-14"
"114400","CALIF STATE POLYTECHNIC UNIV POMONA","POMONA","CA","Public 4 Year",10268,44156079,"2013-14"
"114600","CALIF STATE UNIV - CHICO","CHICO","CA","Public 4 Year",7030,30633565,"2013-14"
"114700","CALIF STATE UNIV - FRESNO","FRESNO","CA","Public 4 Year",12285,54662341,"2013-14"
"114900","HUMBOLDT STATE UNIVERSITY","ARCATA","CA","Public 4 Year",4385,19371207,"2013-14"
"115000","CALIF STATE UNIV-SACRAMENTO","SACRAMENTO","CA","Public 4 Year",15130,62709501,"2013-14"
"115100","SAN DIEGO STATE UNIVERSITY","SAN DIEGO","CA","Public 4 Year",11230,49138427,"2013-14"
"115300","CALIF STATE UNIV-NORTHRIDGE","NORTHRIDGE","CA","Public 4 Year",18123,80024944,"2013-14"
"115400","SAN FRANCISCO STATE UNIVERSITY","SAN FRANCISCO","CA","Public 4 Year",11893,50208367,"2013-14"
"115500","SAN JOSE STATE UNIVERSITY","SAN JOSE","CA","Public 4 Year",11387,47264906,"2013-14"
"115600","SONOMA STATE UNIVERSITY","ROHNERT PARK","CA","Public 4 Year",2861,11845200,"2013-14"
"115700","CALIF STATE UNIV-STANISLAUS","TURLOCK","CA","Public 4 Year",5054,21182849,"2013-14"
"116100","CERRITOS COLLEGE","NORWALK","CA","Public 2 Year",11905,36872012,"2013-14"
"116200","CHABOT COLLEGE","HAYWARD","CA","Public 2 Year",3740,11795410,"2013-14"
"116300","CHAFFEY COLLEGE","RANCHO CUCAMONGA","CA","Public 2 Year",8277,24425101,"2013-14"
"116400","CHAPMAN UNIVERSITY","ORANGE","CA","Private 4 Year",1245,5283698,"2013-14"
"116600","CITRUS COLLEGE","GLENDORA","CA","Public 2 Year",5049,16102169,"2013-14"
"117000","CLAREMONT MCKENNA COLLEGE","CLAREMONT","CA","Private 4 Year",155,680130,"2013-14"
"117100","HARVEY MUDD COLLEGE","CLAREMONT","CA","Private 4 Year",113,463564,"2013-14"
"117200","PITZER COLLEGE","CLAREMONT","CA","Private 4 Year",173,718472,"2013-14"
"117300","POMONA COLLEGE","CLAREMONT","CA","Private 4 Year",289,1294349,"2013-14"
"117400","SCRIPPS COLLEGE","CLAREMONT","CA","Private 4 Year",119,507043,"2013-14"
"117600","WEST HILLS COMMUNITY COLLEGE","COALINGA","CA","Public 2 Year",1175,4141281,"2013-14"
"117700","COGSWELL POLYTECHNICAL COLLEGE","SUNNYVALE","CA","Proprietary 4 Year",275,1105334,"2013-14"
"117800","COLLEGE OF MARIN","KENTFIELD","CA","Public 2 Year",1820,5843463,"2013-14"
"117900","NOTRE DAME DE NAMUR UNIVERSITY","BELMONT","CA","Private 4 Year",641,2406549,"2013-14"
"118100","COLLEGE OF SAN MATEO","SAN MATEO","CA","Public 2 Year",1604,5725977,"2013-14"
